Bait	Preys	PreyGene	MIST	BFDR	AvgSpec	FoldChange	Abundance
SARS-CoV2 Orf9b	O75534	CSDE1	0.988959751	0	5	50	0.000714328
SARS-CoV2 Orf9b	O94826	TOMM70	0.978100903	0	55	550	0.010275398
SARS-CoV2 Orf9b	P27448	MARK3	0.993959488	0	14.67	146.67	0.002210651
SARS-CoV2 Orf9b	Q7KZI7	MARK2	0.99404114	0	22.33	223.33	0.003212567
SARS-CoV2 Orf9b	Q9H2P9	DPH5	0.956356188	0.03	3	30	0.001194615
SARS-CoV2 Orf9b	Q9H773	DCTPP1	0.753716811	0	23.33	128.33	0.015597658
SARS-CoV2 Orf9b	Q9P0L2	MARK1	0.99395635	0	11.67	116.67	0.001665055
SARS-CoV2 Orf9b	Q9UKA9	PTBP2	0.991125633	0	8.33	83.33	0.001780094
SARS-CoV2 Orf9b	Q9UL15	BAG5	0.864649763	0	6.67	66.67	0.001689291
SARS-CoV2 Orf9c	O00124	UBXN8	0.770566762	0	2.67	26.67	0.000638754
SARS-CoV2 Orf9c	O43292	GPAA1	0.804405154	0.03	3.33	33.33	0.000349463
SARS-CoV2 Orf9c	O76024	WFS1	0.955124813	0.03	3	30	0.00021908
SARS-CoV2 Orf9c	P33527	ABCC1	0.77999958	0	12.67	126.67	0.000535198
SARS-CoV2 Orf9c	P55085	F2RL1	0.891878677	0	3.67	36.67	0.00059684
SARS-CoV2 Orf9c	Q12770	SCAP	0.895648601	0	4	40	0.000201515
SARS-CoV2 Orf9c	Q2PZI1	DPY19L1	0.968853805	0.05	2	20	0.000191339
SARS-CoV2 Orf9c	Q5BJF2	TMEM97	0.730637585	0	3.33	33.33	0.001222162
SARS-CoV2 Orf9c	Q6NXT4	SLC30A6	0.774357796	0.05	2	20	0.000281207
SARS-CoV2 Orf9c	Q6NXT6	TAPT1	0.941527935	0	2.67	26.67	0.000302982
SARS-CoV2 Orf9c	Q7Z2K6	ERMP1	0.793920345	0	14	140	0.000998403
SARS-CoV2 Orf9c	Q86UT6	NLRX1	0.93198593	0	11.67	116.67	0.000773483
SARS-CoV2 Orf9c	Q86VR2	RETREG3	0.731626333	0	3.33	33.33	0.000461181
SARS-CoV2 Orf9c	Q8TEQ8	PIGO	0.746326481	0	7.33	73.33	0.000433577
SARS-CoV2 Orf9c	Q96K12	FAR2	0.734768532	0	5.67	56.67	0.00071181
SARS-CoV2 Orf9c	Q9BQ95	ECSIT	0.776412187	0	6.67	66.67	0.000998587
SARS-CoV2 Orf9c	Q9BVK2	ALG8	0.796680672	0.01	2	20	0.000245178
SARS-CoV2 Orf9c	Q9GZU3	TMEM39B	0.751831436	0	4	40	0.00052347
SARS-CoV2 Orf9c	Q9H3K2	GHITM	0.722254821	0	5.67	56.67	0.001058105
SARS-CoV2 Orf9c	Q9H845	ACAD9	0.720456009	0	24.33	243.33	0.002527065
SARS-CoV2 Orf9c	Q9NV92	NDFIP2	0.980637174	0	5	50	0.000964123
SARS-CoV2 Orf9c	Q9Y276	BCS1L	0.992309958	0	35	350	0.005391794
SARS-CoV2 Orf9c	Q9Y375	NDUFAF1	0.762046149	0	3.67	36.67	0.000722546
SARS-CoV2 Orf9c	Q9Y3A6	TMED5	0.705393478	0.05	2	20	0.000559392
SARS-CoV2 Orf9c	Q9Y6M9	NDUFB9	0.966177822	0.04	2.33	23.33	0.000846266
SARS-CoV2 Orf9c	Q96S52	PIGS	0.647089409	0	10.67	106.67	0.001240214
